ID;StockRegularProduk;StockAReady;StockABelumReady;ScoreLayananStock;ScoreLayananSales;ScorePKBase;ScoreRetensi;AdaMatpro1;AdaMatpro2;AdaMatpro3;AdaMatpro4
76290;46;0;15;8;7;7;7;Ya;Ya;Tidak;Ya
76291;8;0;0;8;9;8;8;Tidak;Ya;Tidak;Ya
76294;7;0;0;8;10;7;8;Ya;Ya;Tidak;Ya
76295;10;0;0;9;10;10;9;Ya;Ya;Tidak;Ya
76518;5;0;5;5;6;5;6;Ya;Ya;Tidak;Ya
76519;12;0;0;8;8;7;7;Tidak;Ya;Tidak;Ya
76543;4;0;0;7;7;7;7;Ya;Ya;Tidak;Ya
76544;12;0;0;9;10;8;9;Ya;Ya;Tidak;Ya
76547;0;0;0;8;8;8;8;Ya;Tidak;Tidak;Ya
76549;9;0;11;9;9;8;8;Ya;Ya;Ya;Tidak
76726;7;0;0;8;8;8;7;Ya;Ya;Tidak;Ya
76727;4;0;0;7;6;6;7;Tidak;Tidak;Tidak;Ya
76729;9;0;0;7;8;8;7;Tidak;Ya;Tidak;Ya
76730;28;0;42;10;8;7;7;Tidak;Ya;Ya;Tidak
76732;9;0;0;9;9;7;7;Tidak;Tidak;Tidak;Tidak
76735;0;0;0;9;8;7;8;Tidak;Ya;Tidak;Tidak
76737;9;0;0;8;10;7;8;Ya;Tidak;Tidak;Tidak
76740;5;0;0;7;6;6;5;Ya;Ya;Tidak;Tidak
76741;0;0;0;10;10;10;10;Tidak;Ya;Tidak;Ya
76744;0;0;28;7;9;9;7;Tidak;Ya;Tidak;Ya
76745;0;0;0;8;7;7;8;Tidak;Ya;Tidak;Tidak
76760;0;0;0;7;7;8;8;Tidak;Ya;Tidak;Tidak
76769;6;0;0;10;10;10;8;Tidak;Ya;Tidak;Ya
76781;4;0;2;7;9;9;8;Ya;Ya;Tidak;Ya
76785;12;0;0;8;9;5;7;Tidak;Ya;Tidak;Tidak
76790;11;0;9;7;7;7;4;Ya;Ya;Tidak;Ya
76821;5;0;7;6;7;7;7;Ya;Ya;Tidak;Ya
76828;0;0;0;10;10;10;10;Ya;Tidak;Tidak;Tidak
76834;4;0;8;8;8;8;8;Tidak;Ya;Tidak;Ya
76839;12;0;12;9;9;8;8;Ya;Ya;Tidak;Ya
75036;0;0;68;8;9;8;7;Ya;Ya;Tidak;Ya
75039;2;0;0;9;8;6;8;Ya;Ya;Ya;Tidak
75139;4;0;20;9;9;10;9;Tidak;Ya;Tidak;Tidak
75143;0;0;0;8;8;7;8;Tidak;Tidak;Tidak;Tidak
75144;4;0;0;8;8;7;8;Ya;Ya;Tidak;Ya
75229;10;0;0;9;9;6;8;Tidak;Ya;Tidak;Ya
75231;3;0;0;7;7;7;9;Tidak;Ya;Tidak;Tidak
75314;12;0;0;8;8;8;8;Ya;Ya;Tidak;Ya
75326;10;0;0;8;8;7;5;Tidak;Tidak;Tidak;Tidak
75342;4;0;0;8;8;7;7;Ya;Ya;Tidak;Tidak
75904;17;0;0;8;8;8;7;Tidak;Ya;Tidak;Ya
76251;0;0;0;9;9;8;8;Tidak;Tidak;Tidak;Tidak
76484;0;0;0;9;9;8;9;Tidak;Ya;Tidak;Ya
76486;8;0;0;8;8;8;7;Ya;Ya;Ya;Ya
76501;6;0;0;8;8;7;8;Ya;Tidak;Tidak;Ya
76820;6;0;0;9;9;8;8;Tidak;Tidak;Ya;Tidak
76824;12;0;0;9;9;8;7;Ya;Ya;Tidak;Tidak
76831;10;0;0;10;9;8;8;Tidak;Ya;Tidak;Ya
76837;42;0;39;9;9;8;9;Ya;Ya;Tidak;Ya
76843;6;0;0;8;8;8;7;Ya;Ya;Tidak;Ya
76845;0;0;0;9;8;8;8;Ya;Ya;Tidak;Ya
76849;0;0;40;9;9;8;10;Tidak;Ya;Tidak;Ya
76851;0;0;0;9;9;9;6;Ya;Ya;Tidak;Ya
76854;12;0;0;9;9;9;10;Tidak;Ya;Tidak;Ya
76857;0;0;0;9;9;8;9;Ya;Ya;Tidak;Ya
76859;6;0;14;8;8;6;6;Ya;Ya;Tidak;Tidak
76862;25;0;0;9;9;9;8;Ya;Ya;Tidak;Ya
76865;0;0;0;8;8;8;8;Tidak;Tidak;Tidak;Tidak
76866;7;0;35;8;8;8;8;Ya;Ya;Tidak;Tidak
76867;0;0;0;8;8;8;8;Tidak;Tidak;Ya;Tidak
